demo,demo1,demo2,demo3,demo4,demo5,demo6,demo7,demo8,demo9,dv0,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,class,reg_target
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0.0,453.52136900000005
0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0,151.91919119999997
0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0.0,-141.6669911
0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0.0,-227.2454744
1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0.0,-130.75279009999997
0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0.0,-204.0912045
0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0.0,-288.2558409
1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0.0,63.98671518
0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0.0,-133.6297825
0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1.0,121.895173
0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0.0,53.67509804
0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0.0,266.56514480000004
1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0.0,121.99794490000001
1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0.0,-104.2014478
0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0.0,-10.20033489
0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0.0,-78.30690456
0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0.0,119.25223989999999
0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0.0,98.40949421
0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0.0,-326.0531684
1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0.0,-191.3294175
0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0.0,123.62382079999999
0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0.0,107.73659609999999
0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0.0,-103.56068940000002
1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0.0,-155.8478109
1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0.0,-106.39658600000001
0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0.0,10.31484652
0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.0,-189.7586415
1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0.0,129.4440409
1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0.0,102.59467430000001
0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0.0,49.20231945
1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.0,-102.081248
1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0.0,-137.4166005
0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0.0,-150.4268539
0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0.0,-41.88914108
0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0.0,-104.0706045
1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0.0,-57.232536399999994
0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0.0,169.4750542
0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.0,39.13171374
0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0.0,-412.48678989999996
0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0.0,-137.540433
0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0.0,-5.949281011
0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0.0,-116.3119679
0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0.0,-85.13851142
0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0.0,2.221450316
0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.0,-60.00801608
0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0.0,17.73238867
1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0.0,-108.04377209999998
1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0.0,-251.5795759
1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0.0,-10.49875865
0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0.0,140.34935900000002
0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0.0,105.72106070000001
1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0.0,-171.9256939
1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0.0,-280.8415857
0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0.0,-55.59116419
1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0.0,74.79952678
0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0.0,73.70268836
1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0.0,15.69064319
1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0.0,39.03809197
1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0,-221.55157020000001
1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0.0,-49.97490287
0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0.0,-184.3833497
1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.0,-57.81106798
0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0.0,-11.08781758
0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0.0,-52.30660129
1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0.0,44.21818378
0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0.0,7.697060218
1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0.0,-77.41878149
0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0.0,-370.7098814
0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0.0,134.7713956
1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0.0,-231.2289989
1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0.0,-137.3766717
0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.0,-106.04964809999998
0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0.0,-80.97170487
0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0.0,-186.65883369999997
0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0.0,4.097426052
0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0.0,182.83664230000002
1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0.0,48.99876171
1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.0,-109.08523000000001
1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0.0,82.88528915
0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0.0,-38.45203175
1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0.0,111.76858680000001
1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0.0,22.81963874
0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0.0,-133.4783628
0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0.0,61.90635343
0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0.0,280.2013923
0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,-406.64075539999993
0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0.0,110.5639993
1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0.0,-30.42184335
0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0.0,47.84057506
1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.0,24.48613209
1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0.0,-99.99710895
0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0.0,-212.26563969999998
1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0.0,85.86509361
1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0.0,22.87924865
0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0.0,360.0712362
0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0.0,31.64876298
1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0.0,101.7504713
0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0.0,143.4073195
0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0.0,73.14960557
1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0.0,-7.747003202999999
0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0,51.36205012
0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0.0,128.3868628
0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0.0,-9.624096706
1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0.0,-124.83680249999999
